Fayl      : dataset/Forest/Forest_1.tif
Strategiya: bm3d
Kanallar  : 13

   kanal          turi      sigma*           usul      AQI
      B1           n/a    0.000022           bm3d        -
      B2           n/a    0.000680           bm3d        -
      B3           n/a    0.001128           bm3d        -
      B4           n/a    0.000814           bm3d        -
      B5           n/a    0.000034           bm3d        -
      B6           n/a    0.000055           bm3d        -
      B7           n/a    0.000065           bm3d        -
      B8           n/a    0.009172           bm3d        -
     B8A           n/a    0.000025           bm3d        -
      B9           n/a    0.000006           bm3d        -
     B10           n/a    0.000035           bm3d        -
     B11           n/a    0.000030           bm3d        -
     B12           n/a    0.000069           bm3d        -
